"Provider Number","Facility Name",City,State,"Zip Code","Certification Date","Medicare Census","Medicaid Census","Other Census","Total Residents","Program Participation Code","Hospital Based","Ownership Type","Multi-Facility Organization","Multi-Facility Organization Name","Number of AIDS Beds","Number of Alzheimer's Disease Beds","Number of Dialysis Beds","Number of Disabled Children/Young Adult Beds","Number of Head Trauma Beds","Number of Hospice Beds","Number of Huntington's Disease Beds","Number of Ventilator Beds","Number of Other Specialized Rehab Beds","Organized Residents' Group","Organized Family Member Group","Facility Conducts Experimental Research","Continuing Care Retirement Community (CCRC)","7 Day RN Waiver Date","7 Day RN Hrs Waived Per Week","24 Hr Licensed Nursing Waiver Date","24 Hr Licensed Nursing Hrs Waived Per Week","Nurse Aide Training and Competency Evaluation Program"
015091,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",BIRMINGHAM,AL,35217,2024-03-07,7,138,16,161,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015097,"SOUTH HEALTH AND REHABILITATION, LLC",BIRMINGHAM,AL,35205,2023-08-24,0,57,11,68,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"NORTHPORT HEALTH SERVICE",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015098,"ALLEN HEALTH AND REHABILITATION",MOBILE,AL,36603,2020-02-21,4,50,36,90,"SNF/NF Dual Certification",No,"Non-Profit - Nonprofit Corporation",Yes,"NOLAND HEALTH SERVICES",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
015100,"CROWNE HEALTH CARE OF MOBILE",MOBILE,AL,36605,2019-09-19,6,112,24,142,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"CROWNE MANAGEMENT",0,22,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
015101,"ALTOONA  HEALTH & REHAB",ALTOONA,AL,35952,2022-06-13,0,41,2,43,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"TRINITY MANAGEMENT",50,50,50,50,50,50,50,0,50,Yes,No,No,No,"",0,"",0,Yes
015103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",MOBILE,AL,36607,2020-01-23,19,85,38,142,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"NHS MANAGEMENT",0,0,0,0,0,0,0,0,20,Yes,No,No,No,"",0,"",0,No
015104,"SOUTHLAND NURSING HOME",MARION,AL,36756,2021-04-22,0,51,5,56,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"SASSER ENTERPRISES",0,16,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",BIRMINGHAM,AL,35234,2024-03-22,2,80,9,91,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"NHS Management, LLC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015111,"DIVERSICARE OF BIG SPRINGS",HUNTSVILLE,AL,35801,2022-01-27,18,73,21,112,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"DIVERSICARE MANAGEMENT",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015112,"MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER",TUSKEGEE,AL,36083,2023-07-19,4,71,10,85,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"BELL HEALTHCARE SERVICES INCORPORATED",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
015113,"RIVER CITY CENTER",DECATUR,AL,35601,2021-04-29,17,109,8,134,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"GENESIS HCC",0,49,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015114,"SHADESCREST HEALTH CARE CENTER",JASPER,AL,35502,2024-02-09,1,56,31,88,"SNF/NF Dual Certification",No,"For Profit - Individual",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",CORDOVA,AL,35550,2024-11-20,4,89,15,108,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"NHS MANAGEMENT",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015116,"ROCKET CITY REHABILITATION AND HEALTHCARE CENTER",HUNTSVILLE,AL,35801,2023-02-26,15,73,21,109,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"SIGNATURE HEALTHCARE",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015117,"OAK KNOLL HEALTH AND REHABILITATION, LLC",BIRMINGHAM,AL,35204,2021-03-18,7,65,16,88,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"NHS MANAGEMENT",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015119,"ARABELLA HEALTH AND WELLNESS OF SELMA",SELMA,AL,36701,2024-07-15,10,112,4,126,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
015120,"NHC HEALTHCARE, ANNISTON",ANNISTON,AL,36207,2024-10-26,20,70,41,131,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"NATIONAL HEALTHCARE CORPORATION",0,50,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015121,"CROWNE HEALTH CARE OF CITRONELLE",CITRONELLE,AL,36522,2023-06-09,0,57,11,68,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"CROWNE MANAGEMENT",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015123,"WASHINGTON COUNTY NURSING HOME",CHATOM,AL,36518,2021-06-10,0,67,13,80,"SNF/NF Dual Certification",Yes,"Government - County",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015124,"CLAY COUNTY NURSING HOME",ASHLAND,AL,36251,2022-03-16,1,42,19,62,"SNF/NF Dual Certification",Yes,"Non-Profit - Other Nonprofit",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
015126,"TRAYLOR RETIREMENT COMMUNITY",ROANOKE,AL,36274,2019-09-26,10,77,19,106,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,24,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015127,"BROOKSHIRE HEALTHCARE CENTER",HUNTSVILLE,AL,35805,2022-03-17,18,46,38,102,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"DIVERSICARE HEALTHCARE INC",0,24,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
015128,"NHC HEALTHCARE, MOULTON",MOULTON,AL,35650,2019-11-06,18,65,35,118,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"NATIONAL HEALTHCARE",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015129,"ATMORE NURSING CENTER",ATMORE,AL,36502,2021-05-27,2,62,8,72,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"CROWNE HEALTH CARE",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015132,"DIVERSICARE OF OXFORD",OXFORD,AL,36203,2019-11-26,25,96,32,153,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"DIVERSICARE LEASING SERVICES",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015133,"MAGNOLIA RIDGE",GARDENDALE,AL,35071,2025-03-19,5,106,23,134,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,GENESIS,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
015134,"BIRMINGHAM NURSING AND REHABILITATION CENTER EAST",BIRMINGHAM,AL,35215,2024-05-13,11,84,1,96,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Tara Cares",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015135,"JOHN KNOX MANOR INC  I I",MONTGOMERY,AL,36116,2024-01-04,4,14,40,58,"SNF/NF Dual Certification",No,"Non-Profit - Nonprofit Corporation",No,"",0,25,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015136,"FALKVILLE REHABILITATION AND HEALTHCARE CENTER",FALKVILLE,AL,35622,2019-09-26,10,68,15,93,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",Yes,"Falkville SNF Operations LLC",0,29,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015137,"ALICEVILLE MANOR NURSING HOME",ALICEVILLE,AL,35442,2023-06-27,4,83,9,96,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,12,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015138,"HENDRIX HEALTH AND REHABILITATION","DOUBLE SPRINGS",AL,35553,2023-09-07,3,85,14,102,"SNF/NF Dual Certification",No,"For Profit - Individual",Yes,"NHS MANAGEMENT",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015139,"TALLASSEE HEALTH AND REHABILITATION, LLC",TALLASSEE,AL,36078,2022-11-03,6,72,15,93,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015141,"ARBOR WOODS HEALTH AND REHAB",REFORM,AL,35481,2022-05-05,0,38,5,43,"SNF/NF Dual Certification",No,"For Profit - Partnership",Yes,"TRAYLOR PORTER HEALTCARE",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",LINEVILLE,AL,36266,2021-07-22,7,62,16,85,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"NHS MANAGEMENT",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015143,"FOREST MANOR HEALTH AND REHAB",NORTHPORT,AL,35476,2021-05-13,15,66,40,121,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
015144,"THE HEALTHCARE CENTER AT BUCK CREEK",ALABASTER,AL,35007,2024-01-25,7,113,42,162,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,26,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015145,"DIVERSICARE OF RIVERCHASE",BIRMINGHAM,AL,35244,2021-07-01,7,57,38,102,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,DIVERSICARE,0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015147,"GLENWOOD CENTER",FLORENCE,AL,35630,2024-02-28,9,84,26,119,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,Genesis,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
015148,"DIVERSICARE OF ARAB",ARAB,AL,35016,2021-04-15,7,49,22,78,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,DIVERSICARE,0,25,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015149,"SUNSET MANOR",GUIN,AL,35563,2023-07-27,10,35,12,57,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015150,"WIREGRASS REHABILITATION CENTER & NURSING HOME",GENEVA,AL,36340,2022-03-24,3,60,7,70,"SNF/NF Dual Certification",Yes,"Government - County",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
015151,"ARABELLA HEALTH & WELLNESS OF MOBILE",MOBILE,AL,36607,2022-01-07,3,61,11,75,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015152,"EXTENDICARE HEALTH AND REHAB",DOTHAN,AL,36302,2022-06-18,8,85,32,125,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015153,"ARLINGTON REHABILITATION & HEALTHCARE CENTER",BIRMINGHAM,AL,35211,2021-04-01,17,60,20,97,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"BALL HEALTHCARE SERVICES",0,20,0,0,0,0,0,20,0,Yes,Yes,No,No,"",0,"",0,No
015154,"FAYETTE MEDICAL CENTER LONG TERM CARE UNIT",FAYETTE,AL,35555,2021-05-06,7,66,20,93,"SNF/NF Dual Certification",Yes,"Government - County",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
015155,"RIDGEVIEW HEALTH SERVICES, INC",JASPER,AL,35504,2019-09-19,12,92,32,136,"SNF/NF - Medicare/Medicaid",No,"For Profit - Individual",No,"",0,24,0,0,0,0,0,0,40,Yes,Yes,No,No,"",0,"",0,Yes
015156,"CROWNE HEALTH CARE OF FT PAYNE","FORT PAYNE",AL,35967,2019-11-14,5,91,13,109,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"CROWNE HEALTH CARE",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015157,"HALEYVILLE HEALTH CARE CENTER",HALEYVILLE,AL,35565,2021-04-22,11,32,4,47,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"USA HEALTHCARE ALABAMA",0,26,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
015158,"DIVERSICARE OF MARION",MARION,AL,36756,2022-08-19,3,50,11,64,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,DIVERSICARE,0,15,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015159,"DIVERSICARE OF ONEONTA",ONEONTA,AL,35121,2023-07-23,2,61,51,114,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"DIVERSICARE HEALTHCARE SERVICES",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
015160,"SYLACAUGA HEALTH AND REHAB SERVICES",SYLACAUGA,AL,35150,2022-01-19,2,88,41,131,"SNF/NF Dual Certification",No,"Non-Profit - Nonprofit Corporation",Yes,"NOLAND HEALTH SERVICES",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,Yes
015162,"TALLADEGA HEALTHCARE CENTER, INC",TALLADEGA,AL,35160,2022-03-11,9,157,34,200,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"SCHMIDT WALLACE HEALTHCARE MANAGEMENT",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
015163,"ALBERTVILLE NURSING HOME",ALBERTVILLE,AL,35950,2019-11-21,26,96,31,153,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"SCHMIDT WALLACE HEALTHCARE COMPANY",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
015164,"ARABELLA HEALTH & WELLNESS OF BUTLER",BUTLER,AL,36904,2021-03-25,6,40,12,58,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,15,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015166,"DADEVILLE HEALTHCARE CENTER",DADEVILLE,AL,36853,2021-04-22,3,69,10,82,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015167,"MARION REGIONAL NURSING HOME",HAMILTON,AL,35570,2025-02-20,4,51,8,63,"SNF/NF Dual Certification",Yes,"Non-Profit - Nonprofit Corporation",Yes,"NORTH MISSISSIPPI HEALTH SERVICES+",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015168,"LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE",MOBILE,AL,36604,2020-03-12,2,57,12,71,"SNF/NF Dual Certification",No,"Non-Profit - Nonprofit Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015169,"FLORENCE NURSING AND REHABILITATION CTR,  LLC",FLORENCE,AL,35630,2020-01-14,36,67,32,135,"SNF/NF Dual Certification",No,"For Profit - Individual",No,"",0,30,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015171,"SOUTHERN SPRINGS HEALTHCARE FACILITY","UNION SPRINGS",AL,36089,2022-08-25,20,69,9,98,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015174,"COOSA VALLEY HEALTH AND REHAB",GLENCOE,AL,35905,2022-04-29,10,50,10,70,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"C ROSS MANAGEMENT LLC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015175,"WESLEY PLACE ON HONEYSUCKLE",DOTHAN,AL,36305,2024-03-23,21,103,27,151,"SNF/NF Dual Certification",No,"Non-Profit - Nonprofit Corporation",Yes,"Methodist Homes of AL and NW FL",0,44,0,0,0,0,0,0,16,Yes,No,No,No,"",0,"",0,Yes
