Provider Number,Medicare Census,Medicaid Census,Other Census,Total Residents,Hospital Based,Ownership Type,Number of AIDS Beds,Number of Alzheimer's Disease Beds,Number of Dialysis Beds,Number of Disabled Children/Young Adult Beds,Number of Head Trauma Beds,Number of Hospice Beds,Number of Huntington's Disease Beds,Number of Ventilator Beds,Number of Other Specialized Rehab Beds,Overall Rating,Latitude,Longitude,low_rated
015137,4,83,9,96,No,For Profit - Corporation,0,12,0,0,0,0,0,0,0,5.0,33.1355,-88.168,0
015138,3,85,14,102,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,2.0,34.1697,-87.403,1
015139,6,72,15,93,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,32.5699,-85.938,1
015141,0,38,5,43,No,For Profit - Partnership,0,0,0,0,0,0,0,0,0,3.0,33.3818,-88.02,0
015142,7,62,16,85,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,33.3036,-85.759,0
015143,15,66,40,121,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,33.2388,-87.579,0
015144,7,113,42,162,No,For Profit - LLC,0,26,0,0,0,0,0,0,0,3.0,33.2537,-86.827,0
015145,7,57,38,102,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.3767,-86.788,1
015147,9,84,26,119,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,34.8334,-87.632,1
015148,7,49,22,78,No,For Profit - LLC,0,25,0,0,0,0,0,0,0,3.0,34.313,-86.493,0
015149,10,35,12,57,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,33.97,-87.917,0
015150,3,60,7,70,Yes,Government - County,0,0,0,0,0,0,0,0,0,4.0,31.0449,-85.841,0
015151,3,61,11,75,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,30.6919,-88.083,0
015152,8,85,32,125,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,31.2112,-85.39,1
015153,17,60,20,97,No,For Profit - Corporation,0,20,0,0,0,0,0,20,0,3.0,33.496,-86.849,0
015154,7,66,20,93,Yes,Government - County,0,0,0,0,0,0,0,0,0,5.0,33.7068,-87.824,0
015155,12,92,32,136,No,For Profit - Individual,0,24,0,0,0,0,0,0,40,2.0,33.8599,-87.265,1
015156,5,91,13,109,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,34.4549,-85.716,0
015157,11,32,4,47,No,For Profit - Corporation,0,26,0,0,0,0,0,0,0,5.0,34.2287,-87.621,0
015158,3,50,11,64,No,For Profit - Corporation,0,15,0,0,0,0,0,0,0,5.0,32.6317,-87.308,0
015159,2,61,51,114,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.9519,-86.466,1
015160,2,88,41,131,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,4.0,33.1674,-86.267,0
015162,9,157,34,200,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.4294,-86.088,1
015163,26,96,31,153,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.2636,-86.207,0
015164,6,40,12,58,No,For Profit - LLC,0,15,0,0,0,0,0,0,0,5.0,32.0901,-88.205,0
015166,3,69,10,82,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,32.8322,-85.759,0
015167,4,51,8,63,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,34.1252,-87.993,0
015168,2,57,12,71,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,4.0,30.6842,-88.078,0
015169,36,67,32,135,No,For Profit - Individual,0,30,0,0,0,0,0,0,0,3.0,34.8364,-87.649,0
015171,20,69,9,98,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,32.1397,-85.689,0
015174,10,50,10,70,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,33.9541,-85.923,0
015175,21,103,27,151,No,Non-Profit - Nonprofit Corporation,0,44,0,0,0,0,0,0,16,2.0,31.2198,-85.435,1
015176,13,105,17,135,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.295,-85.988,0
015177,3,44,7,54,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,32.5009,-87.839,0
015178,1,33,2,36,No,For Profit - Corporation,0,20,0,0,0,0,0,0,0,1.0,32.8434,-87.889,1
015179,11,51,7,69,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,32.4854,-85.023,0
015180,6,74,34,114,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,3.0,33.9898,-86.029,0
015182,4,70,17,91,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,31.636,-86.74,0
015183,16,122,10,148,No,For Profit - Individual,0,18,0,0,0,0,0,0,0,2.0,30.7645,-88.128,1
015184,11,103,15,129,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.665,-86.049,0
015186,11,127,33,171,No,For Profit - Corporation,0,19,0,0,0,0,0,0,0,1.0,33.2388,-87.579,1
015187,6,36,18,60,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,32.9951,-87.631,0
015188,6,52,8,66,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,31.5367,-87.888,0
015189,6,28,30,64,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.5959,-86.311,1
015191,3,53,8,64,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,32.9521,-85.979,0
015192,8,64,45,117,No,For Profit - Partnership,0,0,0,0,0,0,0,0,24,2.0,32.6385,-85.399,1
015193,9,70,8,87,No,For Profit - Corporation,0,20,0,0,0,0,0,0,0,4.0,31.8425,-86.636,0
015194,4,38,25,67,No,Government - City,0,18,0,0,0,0,0,0,10,5.0,33.9085,-85.609,0
015195,0,56,35,91,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,1.0,33.6002,-86.391,1
015196,4,69,10,83,No,For Profit - Corporation,0,24,0,0,0,0,0,0,0,4.0,32.8576,-85.199,0
015197,1,59,2,62,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,32.8893,-85.412,0
015199,6,138,13,157,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,31.8888,-85.158,0
015200,9,132,33,174,No,Government - County,0,0,0,0,0,0,0,0,17,5.0,34.1657,-85.661,0
015201,3,45,6,54,No,For Profit - Corporation,0,16,0,0,0,0,0,0,12,1.0,34.4502,-88.143,1
015202,11,87,48,146,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,33.9713,-86.02,0
015203,27,59,3,89,No,For Profit - Corporation,0,34,0,0,0,0,0,0,0,2.0,33.985,-86.108,1
015204,0,43,5,48,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,33.0675,-86.053,0
015206,30,63,7,100,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,34.5698,-87.008,1
015207,19,94,48,161,No,For Profit - Corporation,0,16,0,0,0,0,0,0,0,3.0,34.2735,-85.856,0
015208,5,111,16,132,No,For Profit - LLC,0,22,0,0,0,0,0,0,0,3.0,31.4731,-85.636,0
015209,4,103,31,138,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.3694,-86.992,1
015210,25,121,25,171,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,31.2934,-86.255,0
015211,12,96,10,118,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,30.7168,-88.074,0
015212,2,33,12,47,No,For Profit - Corporation,0,14,0,0,0,0,0,0,0,1.0,33.4582,-86.992,1
015213,3,88,17,108,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,31.7785,-85.963,1
015214,2,46,26,74,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,34.6839,-86.752,0
015215,5,90,22,117,Yes,Government - County,0,0,0,0,0,0,0,0,0,1.0,32.9509,-87.148,1
015216,6,83,8,97,No,Non-Profit - Nonprofit Corporation,0,23,0,0,0,0,0,0,0,4.0,31.4287,-85.646,0
015217,3,88,18,109,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.5484,-86.883,1
015220,2,54,7,63,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,31.9303,-87.737,0
015221,7,94,32,133,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,32.9095,-85.922,0
015222,4,37,14,55,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,2.0,30.5216,-87.905,1
015223,10,53,27,90,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,34.0418,-85.959,0
015225,11,60,36,107,No,For Profit - Corporation,0,20,0,0,0,0,0,0,0,5.0,34.4235,-86.263,0
015227,4,70,17,91,No,For Profit - Corporation,0,14,0,0,0,0,0,1,0,1.0,33.7212,-88.167,1
015228,4,81,13,98,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,32.3179,-86.239,1
015303,0,57,7,64,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,3.0,33.4758,-86.899,0
015315,4,55,18,77,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,3.0,33.8544,-87.287,0
015320,16,142,41,199,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,31.3028,-85.837,0
015321,2,63,25,90,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,3.0,33.4049,-86.808,0
015322,10,54,14,78,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,31.4962,-87.32,0
015326,13,101,11,125,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,33.2398,-87.579,0
015330,2,35,14,51,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,32.3123,-87.798,0
015331,4,59,20,83,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,32.4951,-85.036,0
015336,8,101,22,131,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,31.7163,-86.266,0
015361,0,39,17,56,No,Non-Profit - Church Related,0,0,0,0,0,1,0,0,0,4.0,34.9148,-87.503,0
015369,7,36,42,85,No,Non-Profit - Nonprofit Corporation,0,21,0,0,0,0,0,0,0,1.0,33.3426,-86.962,1
015371,12,70,38,120,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,33.2283,-87.56,0
015372,28,23,37,88,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,34.7605,-86.593,1
015373,2,55,12,69,No,Government - County,0,14,0,0,0,0,0,0,0,4.0,31.5548,-85.253,0
015374,0,44,12,56,No,For Profit - Corporation,0,26,0,0,0,0,0,0,0,5.0,32.0051,-87.304,0
015375,10,46,18,74,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,33.6549,-85.822,0
015376,24,57,21,102,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,33.9377,-87.822,0
015378,14,48,19,81,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,34.3163,-86.312,0
015379,8,49,38,95,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,30.6476,-88.237,1
015381,6,3,14,23,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,4.0,30.6684,-87.912,0
015382,8,64,49,121,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,32.4478,-85.019,1
015383,14,74,19,107,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,34.1517,-86.846,0
015386,1,36,12,49,No,For Profit - LLC,0,20,0,0,0,0,0,0,0,5.0,32.9431,-85.94,0
015388,5,43,32,80,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.5917,-86.668,1
015390,9,155,32,196,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,32.3716,-86.304,0
015391,13,103,39,155,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.8102,-85.764,1
015392,4,61,8,73,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.743,-87.638,0
015393,6,102,37,145,No,For Profit - Corporation,0,18,0,0,0,0,0,0,0,3.0,32.3862,-86.282,0
015396,9,64,6,79,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,32.6999,-87.585,0
015397,4,68,10,82,No,For Profit - Corporation,0,30,0,0,0,0,0,0,0,1.0,34.7174,-86.629,1
015398,1,66,13,80,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,31.5265,-87.328,0
015400,5,43,7,55,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,33.5863,-86.286,0
015402,0,34,25,59,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.7997,-87.676,0
015403,8,37,32,77,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,30.698,-88.102,0
015404,2,26,6,34,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,33.4464,-86.979,0
015406,3,40,22,65,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,30.4906,-88.331,1
015407,0,38,8,46,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,3.0,33.875,-86.299,0
015408,3,30,13,46,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.8892,-87.522,1
015411,6,80,38,124,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.2541,-86.81,1
015413,6,53,2,61,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,32.4432,-87.015,1
015414,2,39,8,49,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,4.0,32.894,-85.402,0
015416,6,63,15,84,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,31.2815,-86.498,0
015417,1,46,22,69,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,2.0,30.8746,-87.776,1
015419,13,67,0,80,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,31.1007,-85.678,0
015420,10,52,24,86,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,2.0,34.9459,-85.72,1
015422,8,63,26,97,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,33.9642,-86.456,0
015423,10,0,52,62,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.4583,-86.797,1
015424,0,51,3,54,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.1417,-85.384,1
015425,18,84,51,153,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,31.241,-85.455,0
015426,11,0,4,15,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,30.6857,-88.133,0
015429,12,79,12,103,No,For Profit - Partnership,0,0,0,0,0,0,0,0,0,5.0,30.6947,-88.051,0
015431,21,70,35,126,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,34.7556,-86.75,0
015433,9,39,57,105,No,Non-Profit - Church Related,0,0,0,0,0,0,0,0,0,1.0,33.5268,-86.718,1
015434,19,79,12,110,No,For Profit - LLC,0,22,0,0,0,0,0,0,0,2.0,30.6261,-88.137,1
015435,11,45,29,85,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,30.6855,-88.136,0
015436,10,84,30,124,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,32.3805,-86.247,1
015437,15,46,25,86,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.174,-86.844,0
015440,4,74,25,103,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,34.679,-86.578,0
015442,1,47,2,50,No,For Profit - Corporation,0,6,0,0,0,0,0,0,0,4.0,32.1877,-86.569,0
015443,17,62,34,113,No,For Profit - Corporation,0,0,0,18,0,0,0,0,0,2.0,30.5694,-87.631,1
015445,5,78,16,99,No,For Profit - Corporation,0,19,0,0,0,0,0,0,0,1.0,33.5734,-86.893,1
015446,4,50,24,78,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,33.5061,-86.782,0
015447,6,29,30,65,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,30.5547,-87.9,0
015448,13,31,26,70,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,34.5872,-86.453,0
015450,12,0,17,29,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,4.0,34.6685,-86.56,0
015451,5,59,11,75,No,For Profit - Corporation,0,16,0,0,0,0,0,0,0,3.0,31.001,-86.311,0
015452,1,55,20,76,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,32.6349,-85.449,0
015453,3,29,26,58,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,33.1951,-86.591,0
015454,9,0,42,51,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,4.0,34.6052,-86.559,0
015455,10,82,38,130,No,For Profit - LLC,0,60,0,0,0,0,0,0,0,1.0,33.4651,-86.769,1
015456,14,35,42,91,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,30.6611,-88.214,1
015457,4,0,37,41,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,33.5401,-86.639,0
015458,10,49,21,80,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,34.7535,-86.662,1
015459,3,0,25,28,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,33.3686,-86.817,0
015460,6,27,17,50,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,32.5047,-86.416,0
015461,2,81,39,122,No,For Profit - Corporation,0,20,0,0,0,0,0,0,0,1.0,33.4896,-86.957,1
015464,16,23,51,90,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.4103,-86.81,1
015465,25,16,27,68,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,33.2312,-87.569,0
015467,16,45,33,94,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.614,-86.609,1
015468,52,27,30,109,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.4291,-86.736,1
01A193,0,44,0,44,No,Non-Profit - Church Related,0,0,0,58,0,0,0,0,0,1.0,32.3514,-86.327,1
01A208,0,44,1,45,No,For Profit - Partnership,0,0,0,54,0,0,0,0,0,3.0,32.424,-86.287,0
025010,1,18,2,21,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,2.0,55.3119,-131.59,1
025015,0,16,0,16,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,5.0,56.4575,-132.37,0
025018,26,10,7,43,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,61.2045,-149.75,0
025019,0,13,1,14,Yes,Government - City/County,0,0,0,0,0,0,0,0,0,5.0,56.8125,-132.96,0
025020,0,0,71,71,Yes,Non-Profit - Nonprofit Corporation,0,22,0,0,0,0,0,0,0,2.0,64.8304,-147.74,1
025021,3,37,4,44,Yes,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,60.4932,-151.08,0
025024,0,40,0,40,No,Government - City,0,0,0,0,0,0,0,0,0,4.0,60.1328,-149.44,0
025025,31,45,21,97,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,61.2257,-149.71,1
025026,0,18,0,18,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,64.7874,-165.2,0
025027,4,43,6,53,Yes,Government - City/County,0,0,0,0,0,0,0,0,0,4.0,58.3311,-134.47,0
025028,0,9,0,9,Yes,Government - City/County,0,0,0,0,0,0,0,0,0,5.0,60.5413,-145.74,0
025030,0,21,0,21,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,5.0,57.801,-152.37,0
025031,0,22,4,26,No,Government - City/County,0,0,0,0,0,0,0,0,0,5.0,59.6516,-151.55,0
